ym,emae_yoy,ipi_yoy,isac_yoy
2016-01,0.5584115340199869,,-4.442330031297548
2016-02,1.2097561980960014,,-8.087031465175931
2016-03,0.4543777110976865,,-9.143757264623764
2016-04,-2.6884693380332947,,-24.6438109667797
2016-05,-3.1811336067122387,,-14.753413696573158
2016-06,-5.692551456485906,,-22.4202406355229
2016-07,-5.343413509496076,,-24.631823001907293
2016-08,-1.9055496368657443,,-5.163543633104828
2016-09,-2.6559669307530958,,-13.516116891356978
2016-10,-4.018482537497237,,-20.7421407407979
2016-11,-0.8464209501952369,,-10.57402184420111
2016-12,0.4565427312700487,,-7.791671744325979
2017-01,1.3998209703308673,-1.1305430149060491,-1.8103528342040875
2017-02,-1.544966268012049,-7.957837715668303,-5.648497128706486
2017-03,1.687720608809884,-0.7795511502383667,10.6185487777408
2017-04,-0.8511085302122412,-3.7914509630432303,10.329530680853406
2017-05,2.9817710216944127,3.93528382283721,12.09516754097779
2017-06,4.798574571620673,7.614833040122226,21.496148826583998
2017-07,4.574479077392457,6.912936175528217,21.283322891466504
2017-08,3.884652851381487,6.938616979450396,14.66141122475937
2017-09,3.0835095986907923,3.658173902704709,12.5533971594322
2017-10,5.844742596064823,7.178084571916354,27.77010995962186
2017-11,4.821169570894446,4.998549459968937,22.779533989127287
2017-12,2.940764064858969,1.8711944338086983,15.452218587273748
2018-01,4.470565929197101,4.122524653488302,19.48143389462565
2018-02,5.039042655950277,6.425464022788208,19.30832444745554
2018-03,2.120521982870449,1.5721916441920225,8.354196416344251
2018-04,-0.277598530643619,3.9582893266529418,14.392698150429716
2018-05,-5.239360122452563,-1.063762206989416,6.816909114535963
2018-06,-6.153867204717811,-8.015055358870304,-0.0787771246329227
2018-07,-2.889122354246698,-6.45187028786397,0.8354820513353234
2018-08,-1.667868428317143,-6.1407533277250685,0.0119734306074592
2018-09,-5.902174324819054,-12.589048355667988,-3.8364283241052233
2018-10,-4.3797115432037454,-8.369881845957671,-6.413797449175518
2018-11,-7.45996888613103,-13.961271615254343,-15.945075177342948
2018-12,-7.175041607523425,-14.836236023671423,-20.644301146289035
2019-01,-5.747947522315111,-11.170494033871304,-15.678493607083857
2019-02,-4.7185162118178585,-8.411060920248692,-5.325160001472929
2019-03,-6.989767700656757,-14.111320443048058,-12.253125781438056
2019-04,-1.0614271048993595,-8.872022729795104,-7.56707287540137
2019-05,2.8633837237050264,-6.908196987226378,-3.432281050836794
2019-06,-0.1765360760572876,-7.174309038116999,-11.849221087535444
2019-07,0.5573345897493809,-1.7213193230859902,-1.8507129110440943
2019-08,-3.739985315411409,-6.387268910364052,-6.04798832188691
2019-09,-2.0831758239588827,-4.986691545451283,-8.69081177656672
2019-10,-0.8428393701107151,-1.812173574125342,-9.451101358919878
2019-11,-2.006209090279876,-4.329752710120694,-5.181021062602764
2019-12,-0.357031685798026,1.4367908603319268,-6.357369465738216
2020-01,-0.479539020720765,-0.0669987346740619,-13.48411844722943
2020-02,-2.490589288669709,-0.6635013538097145,-22.104954757480943
2020-03,-11.556165885352344,-16.523855181284464,-47.12442022672752
2020-04,-24.42776813267593,-33.232644960500544,-76.22166735714532
2020-05,-20.16997524911287,-26.156264517271875,-48.67426745940778
2020-06,-12.155065265928489,-6.239643661534733,-14.70503019180759
2020-07,-13.158285201462016,-6.54790724704225,-12.900518452313282
2020-08,-11.391131154812417,-7.184567104902939,-17.626531550672077
2020-09,-5.710378040978137,3.6985864194375218,-3.849131258376692
2020-10,-7.2676383329347,-2.8345870244386173,-0.9438073613846408
2020-11,-4.139579498962787,4.454273685367882,6.243789349803808
2020-12,-1.407422206137976,5.592948626863681,27.41442108823755
2021-01,-1.7697583621349655,4.492940163893744,23.288976929744297
2021-02,-2.120101289530818,1.6869835554319978,22.66559125480192
2021-03,13.841114222819972,33.17768230156493,99.81534529476596
2021-04,29.99761617008998,56.17955784390949,321.9591095236903
2021-05,15.370387970221277,30.28652539768879,70.42287084017093
2021-06,12.418810579078476,19.420296140746363,28.43205593122622
2021-07,11.73842029319523,12.54777439075907,18.595130788502367
2021-08,12.614280075424912,14.036119544190818,22.685961213072847
2021-09,11.10360098050467,9.7711191347583,12.392503440136624
2021-10,6.219670018796464,4.080957091622173,7.823318736592943
2021-11,8.846324922699878,9.830958999348915,7.655611041095489
2021-12,9.992586097630715,10.422851362080676,4.542117331616136
2022-01,6.171174993971906,-1.18139716886978,-4.943135282587196
2022-02,9.197016776822077,8.456085321087613,7.248255697324146
2022-03,5.4632228192351695,3.3551589856809505,2.0190157327110825
2022-04,7.048335557032881,4.453217779523633,8.151251959744933
2022-05,8.943640509948626,11.728878387782029,19.30800319010548
2022-06,8.37377454445225,7.110004782148671,6.653984797355483
2022-07,7.034867755764118,5.17519094665837,4.588098277327335
2022-08,7.441605041987853,7.290744374539226,6.752146472127474
2022-09,5.575710055827376,3.836045885867967,4.4602860750111
2022-10,5.045800428563352,2.991704548826668,-0.3827258322950833
2022-11,2.9763902137737386,0.4135656069320426,-1.4484054876988115
2022-12,-0.7125390099043338,-3.1157673672921105,-10.495527528285864
2023-01,2.4293026217031555,6.253706978964013,2.6545694761922034
2023-02,-0.4261795369412069,-1.6137509035205388,-6.634055811359452
2023-03,0.7339119187013798,3.3356783708129445,1.4340514388369474
2023-04,-4.8462039772614425,1.7107139598403045,-4.040269831946064
2023-05,-6.628817539696241,1.0156241762247165,-2.853358995624522
2023-06,-5.511016445390149,-2.51814694036846,-2.8111724569756413
2023-07,-1.4578427233512214,-3.961856419970156,-5.817372597085779
2023-08,0.3144599782888058,-3.0361090813319724,-3.0300313171843896
2023-09,-0.4974756666332292,-3.102726595372507,-4.5271035266608255
2023-10,0.649974094661343,-0.681449160873715,2.983093975713325
2023-11,-1.1288208818006296,-4.897535432114964,-2.0807085604781284
2023-12,-4.682586062113547,-12.931473942891024,-12.171219137726164
2024-01,-3.834269259336887,-12.341521335187666,-21.76034171005116
2024-02,-2.640790911992308,-9.8441801413656,-24.629545422425668
2024-03,-8.056172986522947,-21.49197041656892,-42.17312099703891
2024-04,-1.8370496365720408,-16.575767422489783,-37.28026526682022
2024-05,1.953651856490324,-15.089871675577616,-32.56775886803528
2024-06,-3.403225951367983,-20.295286862964502,-35.345645598663445
2024-07,-0.3497735906947796,-5.517478086120764,-20.270123162553467
2024-08,-3.036988324255374,-6.914855781473372,-26.51587905265307
2024-09,-2.417580776780948,-6.254901768332088,-25.175660266710945
2024-10,0.3306099106354487,-2.0158869224567444,-24.796212283212427
2024-11,1.1682653299775805,-1.6965360583923617,-24.00890817490412
2024-12,6.625447129706297,8.712986092065055,-10.209079373293628
